game_id,year,subject_color,result,subject_won,total_plies,eco,ply_first_capture,ply_queens_off,ply_first_minor_trade,endgame_reached_ply,endgame_proportion,ply_castled,castle_side,pawn_shield_score_avg,king_in_center_plies_after_ply30,doubled_pawns_at_move20,isolated_pawns_at_move20,passed_pawns_at_move20,pawn_islands_at_move20,avg_subject_mobility,avg_opponent_mobility,mobility_ratio,subject_captures_total,subject_checks_total,material_max_deficit,material_max_surplus,accepted_material_deficit_for_10_plies_and_didnt_lose
219,1982,w,1/2-1/2,0.5,33,E11,8,-1,8,-1,0.0,23,k,2.857142857142857,0,-1,-1,-1,-1,43.857142857142854,35.57142857142857,1.2794119334400664,3,0,3,0.0,0
220,1982,w,1-0,1.0,75,D86,7,50,10,-1,0.0,33,k,1.65,1,0,2,0,3,39.65,39.23809523809524,1.0241927402478832,10,1,4,9,0
222,1982,w,1-0,1.0,51,E12,11,-1,16,-1,0.0,-1,none,1.0,11,0,2,2,3,45.5,43.8125,1.03127906345818,8,3,3,5,0
224,1982,w,1/2-1/2,0.5,48,D43,12,-1,36,-1,0.0,29,k,1.7142857142857142,0,0,0,0,2,33.214285714285715,37.93333333333333,0.8834795436972893,5,1,6,0.0,1
225,1982,w,1/2-1/2,0.5,81,C92,26,-1,56,-1,0.0,9,k,3.0,0,0,1,0,2,37.85,43.42857142857143,0.8652711549084993,9,4,10,2,1
227,1982,w,1/2-1/2,0.5,46,E11,13,-1,24,-1,0.0,17,k,2.923076923076923,0,0,0,0,2,37.61538461538461,40.0,0.9698394295674908,4,0,3,3,0
229,1982,w,1-0,1.0,115,D52,14,35,15,94,0.19130434782608696,21,k,2.65,0,2,1,0,3,31.95,33.38095238095238,0.9966697191884542,13,6,8,2,0
231,1982,w,1-0,1.0,53,E12,11,-1,16,-1,0.0,23,k,2.8823529411764706,0,0,2,0,3,45.411764705882355,40.88235294117647,1.1626185661843829,6,4,4,1,1
233,1983,w,0-1,0.0,104,E12,11,50,20,70,0.33653846153846156,31,k,2.5,0,0,2,0,3,42.1,36.666666666666664,1.1603607214154052,12,3,5,9,0
235,1983,w,1/2-1/2,0.5,35,E12,11,-1,15,-1,0.0,25,k,2.75,0,-1,-1,-1,-1,47.125,31.25,1.540179512665281,5,1,4,3,0
237,1983,w,1/2-1/2,0.5,42,E04,8,-1,16,-1,0.0,11,k,3.0,0,0,0,0,2,45.63636363636363,38.333333333333336,1.1809666791171671,4,1,3,3,0
239,1983,w,1-0,1.0,91,E04,8,29,19,-1,0.0,13,k,3.0,0,0,1,0,2,38.1,36.80952380952381,1.05793067608792,10,5,9,3,0
241,1983,w,1-0,1.0,59,E04,8,56,25,-1,0.0,11,k,2.9,0,0,1,0,2,50.05,32.85,1.5663598603512148,7,1,1,10,0
